Skewb Combined First Round,Kyle Lin,NV 1
Skewb Combined First Round,Logan Reyes,CA 1
Skewb Combined First Round,Mark Boyanowski,NV 4
Skewb Combined First Round,Mateus Odom,CA 4
Skewb Combined First Round,Matthew Dickman,CA 3
Skewb Combined First Round,Miguel Diaz,AZ 2
Skewb Combined First Round,Mitchell Lane,NV 3
Skewb Combined First Round,Nathan Nakaguchi,CA 3
Skewb Combined First Round,Nathan Peck,AZ 2
Skewb Combined First Round,Neil Johnson,AZ 3
Skewb Combined First Round,Nick Anderson,AZ 4
Skewb Combined First Round,Nicolas Harper,CA 4
Skewb Combined First Round,Nitin Subramanian,AZ 2
Skewb Combined First Round,Pablo Nava,AZ 4
Skewb Combined First Round,Paul Mahvi,AZ 1
Skewb Combined First Round,Rider Heise-Pearce,AZ 1
Skewb Combined First Round,Riley Woo,NV 4
Skewb Combined First Round,Roberto Mateo Valenciano,AZ 2
Skewb Combined First Round,Ryan Jew,CA 4
Skewb Combined First Round,Ryan Lee,NV 2
Skewb Combined First Round,Ryan Woytowitz,CA 2
Skewb Combined First Round,Samuel Tong,CA 1
Skewb Combined First Round,Satvik Reddy,AZ 1
Skewb Combined First Round,Scott Weston,CA 2
Skewb Combined First Round,Sean Wang,AZ 2
Skewb Combined First Round,Shane Grogan,NV 4
Skewb Combined First Round,Shane Robertson,NV 2
Skewb Combined First Round,Siddharth Manchkanti,NV 4
Skewb Combined First Round,Sonny Lodato,AZ 1
Skewb Combined First Round,Spencer Lorenzen,CA 1
Skewb Combined First Round,Spencer Stutzman,NV 4
Skewb Combined First Round,Stanley Chapel,NV 4
Skewb Combined First Round,Stanley Nerkowski IV,AZ 3
Skewb Combined First Round,Timothy Castle,NV 3
Skewb Combined First Round,Travis G. Kim,AZ 1
Skewb Combined First Round,Trenton Beyer,NV 2
Skewb Combined First Round,Ty Marshall,CA 3
Skewb Combined First Round,Tyler Howlett,NV 1
Skewb Combined First Round,Will Newhoff,AZ 1
Skewb Combined First Round,Yash Bansal,CA 3
Skewb Combined First Round,Zach Goldman,NV 3
Skewb Combined First Round,Zachary Clark,NV 3
Skewb Combined First Round,Zander Verhoeven,NV 3
Skewb Combined First Round,Zeke Miller,AZ 4
Skewb Combined First Round,Ziming Li,AZ 1
Skewb Combined First Round,Ziqi Li,NV 3
5x5x5 Blindfolded,Cary Huang,HI 2
5x5x5 Blindfolded,Daniel Lin,HI 1
5x5x5 Blindfolded,Graham Siggins,HI 2
5x5x5 Blindfolded,Jonathan Cookmeyer,HI 2
5x5x5 Blindfolded,Kevin Matthews,HI 3
5x5x5 Blindfolded,Mark Boyanowski,HI 2
5x5x5 Blindfolded,Matthew Dickman,HI 2
5x5x5 Blindfolded,Michael Young,HI 2
5x5x5 Blindfolded,Neel Gore,HI 2
5x5x5 Blindfolded,Riley Woo,HI 2
5x5x5 Blindfolded,Stanley Chapel,HI 2
7x7x7 Cube Combined Final Round,Alex Davani,0
7x7x7 Cube Combined Final Round,Ant Irizarry,NV 1
7x7x7 Cube Combined Final Round,Brandon Lin,0
7x7x7 Cube Combined Final Round,Calvin Nielson,0
7x7x7 Cube Combined Final Round,Cary Huang,0
7x7x7 Cube Combined Final Round,Christian Martin,0
7x7x7 Cube Combined Final Round,Danny SungIn Park,0
7x7x7 Cube Combined Final Round,David Adams,AZ 1
7x7x7 Cube Combined Final Round,Dawson Lam,AZ 1
7x7x7 Cube Combined Final Round,Devin Corr-Robinett,AZ 1
7x7x7 Cube Combined Final Round,Edward Lin,AZ 1
7x7x7 Cube Combined Final Round,Eric Zhao,0
7x7x7 Cube Combined Final Round,Ethan Littlejohn,UT 1
7x7x7 Cube Combined Final Round,Graham Siggins,NV 1
7x7x7 Cube Combined Final Round,Henry McNamara,UT 1
7x7x7 Cube Combined Final Round,Jacob Posner,0
7x7x7 Cube Combined Final Round,Jaden Burkhardt,UT 1
7x7x7 Cube Combined Final Round,Jeremy Benik,0
7x7x7 Cube Combined Final Round,Jonathan Cookmeyer,0
7x7x7 Cube Combined Final Round,Keaton Ellis,0
7x7x7 Cube Combined Final Round,Kevin Hays,CO 1
7x7x7 Cube Combined Final Round,Kevin Matthews,0
7x7x7 Cube Combined Final Round,Kian Kwa,UT 1
7x7x7 Cube Combined Final Round,Mark Boyanowski,NV 1
7x7x7 Cube Combined Final Round,Max Park,CO 1
7x7x7 Cube Combined Final Round,Michael Young,0
7x7x7 Cube Combined Final Round,Mitchell Lane,0
7x7x7 Cube Combined Final Round,Nathan Peck,CO 1
7x7x7 Cube Combined Final Round,Paul Mahvi,0
7x7x7 Cube Combined Final Round,Reuben San Luis,CA 1
7x7x7 Cube Combined Final Round,Riley Woo,CA 1
7x7x7 Cube Combined Final Round,Ryan Jew,0
7x7x7 Cube Combined Final Round,Shane Grogan,CO 1
7x7x7 Cube Combined Final Round,Siddharth Manchkanti,CA 1
7x7x7 Cube Combined Final Round,Stanley Chapel,CA 1
7x7x7 Cube Combined Final Round,Stanley Nerkowski IV,0
7x7x7 Cube Combined Final Round,Timothy Castle,NV 1
7x7x7 Cube Combined Final Round,Ty Marshall,0
7x7x7 Cube Combined Final Round,Tyler Howlett,0
7x7x7 Cube Combined Final Round,Will Newhoff,CO 1
7x7x7 Cube Combined Final Round,Zach Goldman,0
Pyraminx Combined First Round,Aarun Devgan,CA 1
Pyraminx Combined First Round,Aidan Costello,UT 3
Pyraminx Combined First Round,Albert You,CA 2
Pyraminx Combined First Round,Alex Davani,CO 1
Pyraminx Combined First Round,Alex Yang,CO 2
Pyraminx Combined First Round,Andrew Nathenson,CA 3
Pyraminx Combined First Round,Ant Irizarry,UT 2
Pyraminx Combined First Round,Austin Chen,AZ 3
Pyraminx Combined First Round,Brandon Lin,UT 3
Pyraminx Combined First Round,Caelen Fry,CO 1
Pyraminx Combined First Round,Calvin K. Smith,AZ 2
Pyraminx Combined First Round,Calvin Nielson,NV 3
Pyraminx Combined First Round,Cary Huang,CA 3
Pyraminx Combined First Round,Charlie Heffernan,UT 2
Pyraminx Combined First Round,Chase Pehrson,UT 1
Pyraminx Combined First Round,Chia-Wei Lu,CA 3
Pyraminx Combined First Round,Christian Martin,UT 3
Pyraminx Combined First Round,Danny SungIn Park,UT 1
Pyraminx Combined First Round,Dawson Lam,AZ 1
Pyraminx Combined First Round,Derek Ono,AZ 2
Pyraminx Combined First Round,Devin Corr-Robinett,NV 2
Pyraminx Combined First Round,Diego Asencio,NV 1
Pyraminx Combined First Round,Don Pio Salazar,UT 1
Pyraminx Combined First Round,Efrem Blitz,CO 3
Pyraminx Combined First Round,Elijah Brown,CO 3
Pyraminx Combined First Round,Elijah M. Perez,UT 2
Pyraminx Combined First Round,Elliot Hawkins,AZ 3
Pyraminx Combined First Round,Eric William McGaugh,NV 1
Pyraminx Combined First Round,Eric Zhao,CA 2
Pyraminx Combined First Round,Ethan Littlejohn,NV 2
Pyraminx Combined First Round,Evan Mann,CA 3
Pyraminx Combined First Round,Graham Siggins,NV 3
Pyraminx Combined First Round,Henry McNamara,AZ 2
Pyraminx Combined First Round,Huxley Alexander,CO 1
Pyraminx Combined First Round,Jack Leo Wilson,NV 1
Pyraminx Combined First Round,Jacob Posner,NV 2
Pyraminx Combined First Round,Jaden Gerstein,UT 1
